ts,latitude,longitude,satellites
-0.69,39.38979721069336,-8.289962768554688,18
-0.49,39.38979721069336,-8.289961814880371,18
-0.09,39.38979721069336,-8.289962768554688,18
0.11,39.38979721069336,-8.289961814880371,18
0.61,39.389793395996094,-8.289952278137207,18
1.11,39.389793395996094,-8.28991413116455,18
1.31,39.389793395996094,-8.289896011352539,18
1.51,39.389801025390625,-8.289877891540527,18
1.91,39.38983154296875,-8.289854049682617,18
2.11,39.38985061645508,-8.289856910705566,18
2.41,39.38986587524414,-8.289852142333984,18
2.51,39.389869689941406,-8.289864540100098,18
2.91,39.3898811340332,-8.289896965026855,18
3.11,39.389892578125,-8.289909362792969,9
3.31,39.389892578125,-8.289909362792969,9
3.51,39.3899040222168,-8.289941787719727,9
3.91,39.389923095703125,-8.28997802734375,9
5.61,39.38996124267578,-8.290077209472656,10
6.21,39.38996124267578,-8.290077209472656,10
6.51,39.38996124267578,-8.290077209472656,8
6.91,39.38996505737305,-8.290361404418945,8
7.31,39.389923095703125,-8.290472984313965,6
7.71,39.389923095703125,-8.290472984313965,7
7.91,39.389923095703125,-8.290472984313965,4
8.51,39.38980484008789,-8.290756225585938,4
8.71,39.38980484008789,-8.290756225585938,4
8.91,39.38980484008789,-8.290756225585938,4
9.11,39.38980484008789,-8.290756225585938,5
9.51,39.389705657958984,-8.290989875793457,5
10.51,39.389617919921875,-8.291200637817383,4
10.71,39.389617919921875,-8.291200637817383,3
10.91,39.389617919921875,-8.291200637817383,3
11.31,39.389530181884766,-8.291397094726562,6
11.51,39.38951110839844,-8.291431427001953,6
11.91,39.38951110839844,-8.291431427001953,3
12.51,39.38942337036133,-8.291618347167969,3
12.71,39.38942337036133,-8.291618347167969,3
13.31,39.38942337036133,-8.291618347167969,5
13.51,39.389339447021484,-8.291770935058594,5
14.71,39.389339447021484,-8.291770935058594,4
15.51,39.389286041259766,-8.291902542114258,4
15.71,39.389286041259766,-8.291902542114258,3
16.51,39.38925552368164,-8.291947364807129,3
17.31,39.38925552368164,-8.291947364807129,0
17.51,39.389183044433594,-8.291926383972168,0
18.01,39.389183044433594,-8.291926383972168,0
18.81,39.389183044433594,-8.291926383972168,0
20.01,39.389183044433594,-8.291926383972168,6
20.51,39.388755798339844,-8.291423797607422,6
21.31,39.388755798339844,-8.291423797607422,4
22.11,39.38846206665039,-8.290338516235352,8
22.61,39.3884391784668,-8.29024887084961,8
22.71,39.3884391784668,-8.29024887084961,7
23.11,39.38839340209961,-8.290163040161133,8
23.51,39.38835144042969,-8.290163040161133,8
23.71,39.38835144042969,-8.290163040161133,7
24.01,39.38835144042969,-8.290163040161133,7
24.11,39.38835144042969,-8.290163040161133,8
24.51,39.388240814208984,-8.28978443145752,8
24.91,39.388240814208984,-8.28978443145752,5
25.11,39.388240814208984,-8.28978443145752,6
25.31,39.388240814208984,-8.28978443145752,5
25.61,39.38819885253906,-8.289290428161621,9
25.71,39.38817596435547,-8.28925895690918,9
26.11,39.388160705566406,-8.28919506072998,8
27.51,39.388160705566406,-8.28919506072998,8
27.61,39.388160705566406,-8.28919506072998,9
28.01,39.38819122314453,-8.288962364196777,9
29.51,39.388248443603516,-8.28841495513916,9
29.91,39.388248443603516,-8.28841495513916,10
30.91,39.388267517089844,-8.28795051574707,5
31.11,39.388267517089844,-8.28795051574707,6
31.31,39.388267517089844,-8.28795051574707,3
31.51,39.388301849365234,-8.287827491760254,3
31.91,39.38831329345703,-8.28774642944336,4
32.11,39.38832473754883,-8.287688255310059,8
32.31,39.38832473754883,-8.287688255310059,8
32.71,39.38834762573242,-8.287541389465332,0
33.11,39.38834762573242,-8.287541389465332,0
34.01,39.38838577270508,-8.287420272827148,0
35.51,39.38838577270508,-8.287420272827148,0
36.01,39.38838577270508,-8.287420272827148,0
40.51,39.39049530029297,-8.284485816955566,12
40.91,39.3905029296875,-8.284387588500977,12
41.31,39.39051055908203,-8.28428840637207,12
42.31,39.390541076660156,-8.284038543701172,12
42.61,39.39054489135742,-8.28398609161377,12
42.91,39.39055252075195,-8.283883094787598,12
43.11,39.39055633544922,-8.283831596374512,12
43.31,39.39056396484375,-8.283781051635742,12
43.51,39.390567779541016,-8.283729553222656,12
43.91,39.39057922363281,-8.283626556396484,12
44.31,39.390594482421875,-8.28352165222168,12
44.51,39.390602111816406,-8.283470153808594,12
44.91,39.3906135559082,-8.283370018005371,12
45.11,39.390621185302734,-8.28332233428955,12
45.31,39.390628814697266,-8.283275604248047,12
45.51,39.3906364440918,-8.283228874206543,12
45.91,39.39065170288086,-8.283140182495117,12
46.31,39.39066696166992,-8.283055305480957,12
46.51,39.39067459106445,-8.283015251159668,12
46.91,39.390689849853516,-8.282936096191406,12
47.11,39.39069747924805,-8.28289794921875,12
47.31,39.39070510864258,-8.282858848571777,12
47.51,39.39071273803711,-8.282820701599121,12
47.91,39.39072799682617,-8.282745361328125,12
48.31,39.3907470703125,-8.282670974731445,12
48.51,39.39075469970703,-8.282633781433105,12
48.91,39.39077377319336,-8.282557487487793,12
49.11,39.390785217285156,-8.28251838684082,12
49.51,39.390804290771484,-8.282439231872559,12
49.91,39.39082717895508,-8.282358169555664,12
50.31,39.390846252441406,-8.282275199890137,12
50.51,39.3908576965332,-8.282234191894531,12
50.91,39.39088439941406,-8.282150268554688,12
51.11,39.39089584350586,-8.282108306884766,12
51.31,39.39091110229492,-8.28206729888916,12
51.51,39.39092254638672,-8.282026290893555,12
51.91,39.390953063964844,-8.281944274902344,12
52.31,39.390987396240234,-8.281864166259766,12
52.51,39.3910026550293,-8.281825065612793,12
52.91,39.39104080200195,-8.281746864318848,12
53.11,39.39105987548828,-8.281708717346191,12
53.31,39.39107894897461,-8.281670570373535,12
53.51,39.39109802246094,-8.281632423400879,12
53.91,39.391136169433594,-8.281557083129883,12
54.31,39.39117431640625,-8.28148365020752,12
54.51,39.391197204589844,-8.28144645690918,12
54.91,39.3912353515625,-8.281370162963867,12
55.11,39.39125442504883,-8.281332015991211,12
55.31,39.39127731323242,-8.281293869018555,12
