;;value;standard deviation;;
Rocket Parameters:;;;;;
;rocketMass;8.257;0.001;;
;inertiaI;3.675;0.03675;;
;inertiaZ;0.007;0.00007;;
;radius;0.04045;0.001;;
;distanceRocketNozzle;-1.024;0.001;;
;distanceRocketPropellant;-0.571;0.001;;
;powerOffDrag;0.864857143;0.033;;
;powerOnDrag;0.864857143;0.033;;
nosecone;noseLength;0.274;0.001;;
;noseDistanceToCM;1.134;0.001;;
fins;finSpan;0.077;0.0005;;
;finRootChord;0.058;0.0005;;
;finTipChord;0.018;0.0005;;
;finDistanceToCM;-0.906;0.001;;
parachute;CdSDrogue;0.4537;0.07;;
;lag_rec;1;0.5;;
;lag_se;0.73;0.16;;
environment;inclination;84.7;1;;
;heading;53;2;;
;railLength;5.7;0.0005;;
;ensembleMember;[0,1,2,3,4,5,6,7,8,9];;;
motor;impulse;1415.15;35.3;;
;burnOut;5.274;1;;
;nozzleRadius;0.021642;0.0005;;
;throatRadius;0.008;0.0005;;
;grainSeparation;0.006;0.001;;
;grainDensity;1707;50;;
;grainOuterRadius;0.0214;0.2;;
;grainInitialInnerRadius;.0097;0.000375;;
;grainInitialHeight;0.12;0.001;;
