UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT
Jun 23 2023 15:45:02.599 UTC,1687556702.599,4583,32.93937720,-106.91198570,14,3,0,0,-83,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:01.899 UTC,1687556701.899,4583,32.93937700,-106.91198580,14,3,0,0,-81,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.000 UTC,1687556702.000,4583,32.93937700,-106.91198580,14,3,0,0,-135,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.099 UTC,1687556702.099,4583,32.93937700,-106.91198580,14,3,0,0,50,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.199 UTC,1687556702.199,4583,32.93937710,-106.91198570,14,3,0,0,176,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.399 UTC,1687556702.399,4583,32.93937720,-106.91198570,14,3,0,0,36,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.499 UTC,1687556702.499,4583,32.93937720,-106.91198570,14,3,0,0,170,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.699 UTC,1687556702.699,4583,32.93937720,-106.91198570,14,3,0,0,112,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:01.899 UTC,1687556701.899,4583,32.93937700,-106.91198580,14,3,0,0,-81,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.000 UTC,1687556702.000,4583,32.93937700,-106.91198580,14,3,0,0,-135,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.099 UTC,1687556702.099,4583,32.93937700,-106.91198580,14,3,0,0,50,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.299 UTC,1687556702.299,4583,32.93937710,-106.91198570,14,3,0,0,-16,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.399 UTC,1687556702.399,4583,32.93937720,-106.91198570,14,3,0,0,36,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.499 UTC,1687556702.499,4583,32.93937720,-106.91198570,14,3,0,0,170,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.599 UTC,1687556702.599,4583,32.93937720,-106.91198570,14,3,0,0,-83,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.699 UTC,1687556702.699,4583,32.93937720,-106.91198570,14,3,0,0,112,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:01.899 UTC,1687556701.899,4583,32.93937700,-106.91198580,14,3,0,0,-81,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.000 UTC,1687556702.000,4583,32.93937700,-106.91198580,14,3,0,0,-135,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.099 UTC,1687556702.099,4583,32.93937700,-106.91198580,14,3,0,0,50,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.299 UTC,1687556702.299,4583,32.93937710,-106.91198570,14,3,0,0,-16,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.399 UTC,1687556702.399,4583,32.93937720,-106.91198570,14,3,0,0,36,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.499 UTC,1687556702.499,4583,32.93937720,-106.91198570,14,3,0,0,170,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.599 UTC,1687556702.599,4583,32.93937720,-106.91198570,14,3,0,0,-83,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.699 UTC,1687556702.699,4583,32.93937720,-106.91198570,14,3,0,0,112,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:01.899 UTC,1687556701.899,4583,32.93937700,-106.91198580,14,3,0,0,-81,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.000 UTC,1687556702.000,4583,32.93937700,-106.91198580,14,3,0,0,-135,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.099 UTC,1687556702.099,4583,32.93937700,-106.91198580,14,3,0,0,50,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.199 UTC,1687556702.199,4583,32.93937710,-106.91198570,14,3,0,0,176,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.499 UTC,1687556702.499,4583,32.93937720,-106.91198570,14,3,0,0,170,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.599 UTC,1687556702.599,4583,32.93937720,-106.91198570,14,3,0,0,-83,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.699 UTC,1687556702.699,4583,32.93937720,-106.91198570,14,3,0,0,112,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:01.899 UTC,1687556701.899,4583,32.93937700,-106.91198580,14,3,0,0,-81,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.000 UTC,1687556702.000,4583,32.93937700,-106.91198580,14,3,0,0,-135,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.099 UTC,1687556702.099,4583,32.93937700,-106.91198580,14,3,0,0,50,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.199 UTC,1687556702.199,4583,32.93937710,-106.91198570,14,3,0,0,176,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.299 UTC,1687556702.299,4583,32.93937710,-106.91198570,14,3,0,0,-16,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.399 UTC,1687556702.399,4583,32.93937720,-106.91198570,14,3,0,0,36,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.699 UTC,1687556702.699,4583,32.93937720,-106.91198570,14,3,0,0,112,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:01.899 UTC,1687556701.899,4583,32.93937700,-106.91198580,14,3,0,0,-81,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.000 UTC,1687556702.000,4583,32.93937700,-106.91198580,14,3,0,0,-135,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.099 UTC,1687556702.099,4583,32.93937700,-106.91198580,14,3,0,0,50,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.199 UTC,1687556702.199,4583,32.93937710,-106.91198570,14,3,0,0,176,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.299 UTC,1687556702.299,4583,32.93937710,-106.91198570,14,3,0,0,-16,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.399 UTC,1687556702.399,4583,32.93937720,-106.91198570,14,3,0,0,36,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.499 UTC,1687556702.499,4583,32.93937720,-106.91198570,14,3,0,0,170,0x01,1,7,13,146,3.311
Jun 23 2023 15:45:02.599 UTC,1687556702.599,4583,32.93937720,-106.91198570,14,3,0,0,-83,0x01,0,7,13,146,3.311
Jun 23 2023 15:45:02.799 UTC,1687556702.799,4583,32.93937720,-106.91198570,14,3,0,0,-95,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:02.899 UTC,1687556702.899,4583,32.93937720,-106.91198570,14,3,0,0,131,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:03.000 UTC,1687556703.000,4583,32.93937720,-106.91198570,14,3,0,0,75,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:03.099 UTC,1687556703.099,4583,32.93937720,-106.91198570,14,3,0,0,120,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:03.199 UTC,1687556703.199,4583,32.93937710,-106.91198570,14,3,0,0,162,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:03.299 UTC,1687556703.299,4583,32.93937710,-106.91198570,14,3,0,0,90,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:03.399 UTC,1687556703.399,4583,32.93937710,-106.91198560,14,3,0,0,11,0x01,0,7,13,146,3.297
Jun 23 2023 15:45:03.499 UTC,1687556703.499,4583,32.93937720,-106.91198560,14,3,0,0,8,0x01,0,7,13,146,3.297
