Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-5.391191E-05,861.70,0,31.9, -,3.811746
0.05,-5.391191E-05,861.70,0,31.9, -,3.811746
0.10,-5.391191E-05,861.70,0,31.9, -,3.811746
0.15,-0.948495,861.80,-0.8998857,31.9, -,3.811746
0.20,-2.845689,862.00,-2.699657,31.9, -,3.811746
0.25,-7.586826,862.50,-7.2136,31.9, -,3.811746
0.30,-8.534554,862.60,-8.113485,31.9, -,3.811746
0.35,-8.534554,862.60,-8.113485,31.9, -,3.811746
0.40,-7.586826,862.50,-7.2136,31.9, -,3.811746
0.45,-2.845689,862.00,-2.699657,31.9, -,3.811746
0.50,-5.391191E-05,861.70,0.01451429,31.9, -,3.811746
0.55,1.897675,861.50,1.8288,31.9, -,3.811746
0.60,3.79576,861.30,3.643086,31.9, -,3.811746
0.65,7.592423,860.90,7.257143,31.9, -,3.811746
0.70,9.49158,860.70,9.071428,31.9, -,3.811746
0.75,11.39109,860.50,10.88571,31.9, -,3.811746
0.80,15.19119,860.10,14.49977,31.9, -,3.811746
0.85,20.89345,859.50,19.92811,31.9, -,3.811746
0.90,26.59893,858.90,25.35646,31.9, -,3.811746
0.95,33.25979,858.20,31.6992,31.9, -,3.811746
1.00,39.92505,857.50,38.04194,31.9, -,3.811746
1.05,48.50123,856.60,46.21349,31.9, -,3.811746
1.10,55.17599,855.90,52.57074,31.9, -,3.811746
1.15,62.8107,855.10,59.8424,31.9, -,3.811746
1.20,67.58505,854.60,65.28526,31.9, -,3.811746
1.25,69.49495,854.40,68.89931,31.9, -,3.811746
1.30,67.58505,854.60,71.59897,31.9, -,3.811746
1.35,68.53996,854.50,73.41325,31.9, -,3.811746
1.40,72.36165,854.10,77.05634,31.9, -,3.811746
1.45,78.09633,853.50,81.61382,31.9, -,3.811746
1.50,83.83427,852.90,82.57177,31.9, -,3.811746
1.55,89.57607,852.30,85.32948,31.9, -,3.811746
1.60,97.23632,851.50,90.81589,31.9, -,3.811746
1.65,109.6967,850.20,100.8743,31.9, -,3.811746
1.70,118.3325,849.30,105.4898,31.9, -,3.811746
1.75,125.0543,848.60,110.0763,31.9, -,3.811746
1.80,128.8969,848.20,111.9197,31.9, -,3.811746
1.85,132.7416,847.80,111.9632,31.9, -,3.811746
1.90,140.4347,847.00,113.8646,31.9, -,3.811746
1.95,152.9488,845.70,120.3525,31.9, -,3.811746
2.00,162.5856,844.70,123.1827,31.9, -,3.811746
2.05,171.2669,843.80,125.1131,31.9, -,3.811746
2.10,177.0583,843.20,122.457,31.9, -,3.811746
2.15,184.7854,842.40,123.4585,31.9, -,3.811746
2.20,193.4859,841.50,124.4745,31.9, -,3.811746
2.25,202.194,840.60,128.2192,31.9, -,3.811746
2.30,209.9405,839.80,133.7782,31.9, -,3.811746
2.35,215.7541,839.20,141.1224,31.9, -,3.811746
2.40,220.6016,838.70,144.8235,31.9, -,3.811746
2.45,227.3921,838.00,147.6538,31.9, -,3.811746
2.50,237.1007,837.00,151.442,31.9, -,3.811746
2.55,249.7357,835.70,158.0025,31.9, -,3.831194
2.60,262.3867,834.40,164.5775,31.9, -,3.831194
2.65,280.9057,832.50,174.9116,31.9, -,3.831194
2.70,295.55,831.00,176.9872,31.9, -,3.831194
2.75,310.2157,829.50,182.7203,31.9, -,3.831194
2.80,320.0047,828.50,185.6377,31.9, -,3.831194
2.85,329.8034,827.50,191.3128,31.9, -,3.831194
2.90,338.6306,826.60,196.059,31.9, -,3.831194
2.95,348.4475,825.60,198.0764,31.9, -,3.831194
3.00,359.257,824.50,196.4509,31.9, -,3.831194
3.05,372.047,823.20,199.4553,31.9, -,3.831194
3.10,383.868,822.00,202.4453,31.9, -,3.831194
3.15,397.6768,820.60,210.0798,31.9, -,3.831194
3.20,411.5042,819.20,215.8855,31.9, -,3.831194
3.25,425.3513,817.80,220.7913,31.9, -,3.831194
3.30,438.2262,816.50,224.7682,31.9, -,3.831194
3.35,451.1177,815.20,229.674,31.9, -,3.831194
3.40,464.0259,813.90,236.4377,31.9, -,3.831194
3.45,477.946,812.50,245.0737,31.9, -,3.831194
3.50,489.8929,811.30,249.9795,31.9, -,3.831194
3.55,503.8486,809.90,254.029,31.9, -,3.831194
3.60,517.8245,808.50,255.3063,31.9, -,3.831194
3.65,534.8214,806.80,259.4428,31.9, -,3.831194
3.70,550.8445,805.20,257.0625,31.9, -,3.831194
3.75,568.9016,803.40,260.3137,31.9, -,3.831194
3.80,581.9638,802.10,258.7897,31.9, -,3.831194
3.85,596.0491,800.70,262.8828,31.9, -,3.831194
3.90,607.1307,799.60,264.1019,31.9, -,3.831194
3.95,619.233,798.40,267.2225,31.9, -,3.831194
4.00,629.3299,797.40,267.4983,31.9, -,3.831194
4.05,641.4598,796.20,268.761,31.9, -,3.831194
4.10,652.5922,795.10,267.179,31.9, -,3.831194
4.15,665.7642,793.80,268.4562,31.9, -,3.831194
4.20,676.9232,792.70,265.9307,31.9, -,3.831194
4.25,690.1274,791.40,265.3356,31.9, -,3.831194
4.30,701.3145,790.30,262.7957,31.9, -,3.831194
4.35,714.5513,789.00,263.144,31.9, -,3.831194
4.40,726.7858,787.80,262.5199,31.9, -,3.831194
4.45,742.0999,786.30,264.8131,31.9, -,3.831194
4.50,755.3912,785.00,264.218,31.9, -,3.831194
4.55,771.7741,783.40,268.4417,31.9, -,3.811746
4.60,784.0795,782.20,266.8596,31.9, -,3.811746
4.65,799.4824,780.70,268.224,31.9, -,3.811746
4.70,813.8804,779.30,265.7566,31.9, -,3.811746
4.75,829.3298,777.80,265.2195,31.9, -,3.811746
4.80,842.7387,776.50,260.7927,31.9, -,3.811746
4.85,856.1658,775.20,261.141,31.9, -,3.811746
4.90,868.5765,774.00,259.5444,31.9, -,3.811746
4.95,882.0387,772.70,261.8087,31.9, -,3.811746
5.00,894.4819,771.50,262.128,31.9, -,3.811746
5.05,907.9794,770.20,265.3647,31.9, -,3.811746
5.10,919.4153,769.10,264.697,31.9, -,3.811746
5.15,932.947,767.80,266.9903,31.9, -,3.811746
5.20,944.4113,766.70,265.3647,31.9, -,3.811746
5.25,955.8895,765.60,265.6695,31.9, -,3.811746
5.30,966.3354,764.60,263.0424,31.9, -,3.811746
5.35,976.7925,763.60,262.3457,31.9, -,3.811746
5.40,985.166,762.80,257.7011,31.9, -,3.811746
5.45,995.643,761.80,256.0175,31.9, -,3.811746
5.50,1005.081,760.90,250.415,31.9, -,3.811746
