Temperature (K),Pressure (Pa),Density (kg/m³)
193.150000,101325.000000,2.839688
205.372222,101325.000000,2.659196
217.594444,101325.000000,2.501930
229.816667,101325.000000,2.363172
242.038889,101325.000000,2.239591
254.261111,101325.000000,2.128693
266.483333,101325.000000,2.028539
278.705556,101325.000000,1.937588
290.927778,101325.000000,1.854594
303.150000,101325.000000,1.778532
193.150000,990733.333333,1206.532256
205.372222,990733.333333,1168.931406
217.594444,990733.333333,1129.335464
229.816667,990733.333333,1087.042281
242.038889,990733.333333,24.480299
254.261111,990733.333333,22.807515
266.483333,990733.333333,21.414919
278.705556,990733.333333,20.221402
290.927778,990733.333333,19.178742
303.150000,990733.333333,18.255258
193.150000,1880141.666667,1207.901606
205.372222,1880141.666667,1170.560205
217.594444,1880141.666667,1131.305292
229.816667,1880141.666667,1089.479276
242.038889,1880141.666667,1044.107836
254.261111,1880141.666667,993.574261
266.483333,1880141.666667,44.818526
278.705556,1880141.666667,41.521255
290.927778,1880141.666667,38.847302
303.150000,1880141.666667,36.598433
193.150000,2769550.000000,1209.256890
205.372222,2769550.000000,1172.168610
217.594444,2769550.000000,1133.244437
229.816667,2769550.000000,1091.867709
242.038889,2769550.000000,1047.140735
254.261111,2769550.000000,997.611513
266.483333,2769550.000000,940.542069
278.705556,2769550.000000,67.699444
290.927778,2769550.000000,61.910544
303.150000,2769550.000000,57.447399
193.150000,3658958.333333,1210.598454
205.372222,3658958.333333,1173.757228
217.594444,3658958.333333,1135.154031
229.816667,3658958.333333,1094.209859
242.038889,3658958.333333,1050.096018
254.261111,3658958.333333,1001.503955
266.483333,3658958.333333,946.059899
278.705556,3658958.333333,878.329006
290.927778,3658958.333333,90.504952
303.150000,3658958.333333,81.893190
193.150000,4548366.666667,1211.926631
205.372222,4548366.666667,1175.326641
217.594444,4548366.666667,1137.035143
229.816667,4548366.666667,1096.507838
242.038889,4548366.666667,1052.978332
254.261111,4548366.666667,1005.263627
266.483333,4548366.666667,951.292446
278.705556,4548366.666667,886.629576
290.927778,4548366.666667,130.554270
303.150000,4548366.666667,112.079628
193.150000,5437775.000000,1213.241741
205.372222,5437775.000000,1176.877402
217.594444,5437775.000000,1138.888779
229.816667,5437775.000000,1098.763608
242.038889,5437775.000000,1055.791888
254.261111,5437775.000000,1008.901026
266.483333,5437775.000000,956.273388
278.705556,5437775.000000,894.237174
290.927778,5437775.000000,812.409895
303.150000,5437775.000000,153.463224
193.150000,6327183.333333,1214.544092
205.372222,6327183.333333,1178.410038
217.594444,6327183.333333,1140.715888
229.816667,6327183.333333,1100.978992
242.038889,6327183.333333,1058.540519
254.261111,6327183.333333,1012.425369
266.483333,6327183.333333,961.030387
278.705556,6327183.333333,901.279439
290.927778,6327183.333333,825.421408
303.150000,6327183.333333,689.418589
193.150000,7216591.666667,1215.833981
205.372222,7216591.666667,1179.925053
217.594444,7216591.666667,1142.517369
229.816667,7216591.666667,1103.155693
242.038889,7216591.666667,1061.227727
254.261111,7216591.666667,1015.844801
266.483333,7216591.666667,965.586483
278.705556,7216591.666667,907.849718
290.927778,7216591.666667,836.658448
303.150000,7216591.666667,729.094125
193.150000,8106000.000000,1217.111692
205.372222,8106000.000000,1181.422931
217.594444,8106000.000000,1144.294074
229.816667,8106000.000000,1105.295297
242.038889,8106000.000000,1063.856717
254.261111,8106000.000000,1019.166555
266.483333,8106000.000000,969.961109
278.705556,8106000.000000,914.018666
290.927778,8106000.000000,846.619843
303.150000,8106000.000000,753.272731
