t(s),alt(ft),vz(ft/s),alt(m),vz(m/s)
0,1.8,36,0.54864,10.9728
0.05,8.24,128.8,2.511552,39.25824
0.1,15.99,155.04,4.873752,47.256192
0.15,20.59,92.03,6.275832,28.050744
0.2,26.27,113.63,8.007096,34.634424
0.25,33.22,138.9,10.125456,42.33672
0.3,39.38,123.12,12.003024,37.526976
0.35,49.9,210.5,15.20952,64.1604
0.4,54.72,96.4,16.678656,29.38272
0.45,66.58,237.12,20.293584,72.274176
0.5,75.46,177.69,23.000208,54.159912
0.55,90.77,306.16,27.666696,93.317568
0.6,101.22,208.92,30.851856,63.678816
0.65,116.17,299.14,35.408616,91.177872
0.7,134.54,367.31,41.007792,111.956088
0.75,151.43,337.85,46.155864,102.97668
0.8,168.14,334.28,51.249072,101.888544
0.85,182.72,291.42,55.693056,88.824816
0.9,197.37,293.14,60.158376,89.349072
0.95,213.5,322.51,65.0748,98.301048
1,231,350.01,70.4088,106.683048
1.05,250.2,384.01,76.26096,117.046248
1.1,271.36,423.21,82.710528,128.994408
1.15,293.69,446.56,89.516712,136.111488
1.2,321.75,561.25,98.0694,171.069
1.25,346.2,489,105.52176,149.0472
1.3,371.56,507.2,113.251488,154.59456
1.35,396.25,493.76,120.777,150.498048
1.4,422.2,519.01,128.68656,158.194248
1.45,449.96,555.21,137.147808,169.228008
1.5,479.77,596.17,146.233896,181.712616
1.55,507.01,544.93,154.536648,166.094664
1.6,536.01,579.95,163.375848,176.76876
1.65,566.81,615.96,172.763688,187.744608
1.7,597.25,608.77,182.0418,185.553096
1.75,626.2,579.01,190.86576,176.482248
1.8,659.56,667.21,201.033888,203.365608
1.85,691.65,641.77,210.81492,195.611496
1.9,723.72,641.41,220.589856,195.501768
1.95,758.17,689.13,231.090216,210.046824
2,794.14,719.31,242.053872,219.245688
2.05,831.11,739.44,253.322328,225.381312
2.1,869.09,759.56,264.898632,231.513888
2.15,908.07,779.64,276.779736,237.634272
2.2,952.86,895.72,290.431728,273.015456
2.25,991.89,780.57,302.328072,237.917736
2.3,1032.71,816.46,314.770008,248.857008
2.35,1072.97,805.17,327.041256,245.415816
2.4,1112.97,800.13,339.233256,243.879624
2.45,1152.58,792.11,351.306384,241.435128
2.5,1194.26,833.68,364.010448,254.105664
2.55,1233.61,786.95,376.004328,239.86236
2.6,1269.49,717.56,386.940552,218.712288
2.65,1305.59,722.05,397.943832,220.08084
2.7,1346.87,825.64,410.525976,251.655072
2.75,1391.5,892.51,424.1292,272.037048
2.8,1428,730.01,435.2544,222.507048
2.85,1462.6,692.01,445.80048,210.924648
2.9,1500.48,757.6,457.346304,230.91648
2.95,1540.18,794.08,469.446864,242.035584
3,1580.95,815.27,481.87356,248.494296
3.05,1619.76,776.21,493.702848,236.588808
3.1,1658.81,780.97,505.605288,238.039656
3.15,1698.84,800.78,517.806432,244.077744
3.2,1740.68,836.62,530.559264,255.001776
3.25,1782.14,829.3,543.196272,252.77064
3.3,1820.91,775.44,555.013368,236.354112
3.35,1859.13,764.35,566.662824,232.97388
3.4,1904.5,907.48,580.4916,276.599904
3.45,1954,989.99,595.5792,301.748952
3.5,2002,959.99,610.2096,292.604952
3.55,2049,939.99,624.5352,286.508952
3.6,2096.2,943.99,638.92176,287.728152
3.65,2142.56,927.19,653.052288,282.607512
3.7,2193.05,1009.76,668.44164,307.774848
3.75,2245.64,1051.8,684.471072,320.58864
3.8,2289.71,881.45,697.903608,268.66596
3.85,2335.77,921.15,711.942696,280.76652
3.9,2385.42,992.92,727.076016,302.642016
3.95,2432.33,938.34,741.374184,286.006032
4,2480.27,958.67,755.986296,292.202616
4.05,2527.21,938.94,770.293608,286.188912
4.1,2573.57,927.15,784.424136,282.59532
4.15,2622.26,973.72,799.264848,296.789856
4.2,2673.4,1022.97,814.85232,311.801256
4.25,2719.72,926.38,828.970656,282.360624
4.3,2764.38,893.11,842.583024,272.219928
4.35,2809.5,902.49,856.3356,275.078952
4.4,2857.2,953.98,870.87456,290.773104
4.45,2902.16,899.19,884.578368,274.073112
4.5,2955.33,1063.35,900.784584,324.10908
4.55,3003.66,966.68,915.515568,294.644064
4.6,3053.93,1005.35,930.837864,306.43068
4.65,3100.74,936.27,945.105552,285.375096
4.7,3144,865.02,958.2912,263.658096
4.75,3190.6,932.02,972.49488,284.079696
4.8,3235.68,901.62,986.235264,274.813776
4.85,3281.54,917.29,1000.213392,279.589992
4.9,3326.43,897.83,1013.895864,273.658584
4.95,3372.55,922.27,1027.95324,281.107896
5,3414.04,829.81,1040.599392,252.926088
5.05,3454.83,815.85,1053.032184,248.67108
5.1,3493.06,764.68,1064.684688,233.074464
5.15,3535.65,851.74,1077.66612,259.610352
5.2,3582.12,929.39,1091.830176,283.278072
5.25,3625.5,867.51,1105.0524,264.417048
5.3,3667.2,834.01,1117.76256,254.206248
5.35,3711.36,883.21,1131.222528,269.202408
5.4,3758.49,942.57,1145.587752,287.295336
5.45,3801.39,858.06,1158.663672,261.536688
5.5,3839.11,754.44,1170.160728,229.953312
5.55,3879.49,807.55,1182.468552,246.14124
5.6,3921.59,842.05,1195.300632,256.65684
5.65,3958.87,745.63,1206.663576,227.268024
5.7,3997.5,772.51,1218.438,235.461048
5.75,4036.4,778.01,1230.29472,237.137448
5.8,4078.92,850.41,1243.254816,259.204968
5.85,4121.74,856.32,1256.306352,261.006336
5.9,4162.19,809.06,1268.635512,246.601488
5.95,4200.35,763.24,1280.26668,232.635552
6,4237.28,738.59,1291.522944,225.122232
6.05,4275.42,762.88,1303.148016,232.525824
6.1,4310.74,706.3,1313.913552,215.28024
6.15,4351.59,817.04,1326.364632,249.033792
6.2,4390.07,769.64,1338.093336,234.586272
6.25,4432.06,839.71,1350.891888,255.943608
6.3,4468.25,723.77,1361.9226,220.605096
6.35,4510.8,851.02,1374.89184,259.390896
6.4,4554.04,864.8,1388.071392,263.59104
6.45,4591.83,755.85,1399.589784,230.38308
6.5,4633.06,824.68,1412.156688,251.362464
6.55,4671.85,775.74,1423.97988,236.445552
6.6,4708.08,724.59,1435.022784,220.855032
6.65,4743.26,703.67,1445.745648,214.478616
6.7,4781.41,762.94,1457.373768,232.544112
6.75,4818.13,734.36,1468.566024,223.832928
6.8,4856.5,767.48,1480.2612,233.927904
6.85,4895.4,777.99,1492.11792,237.131352
6.9,4933.52,762.39,1503.736896,232.376472
6.95,4971.62,761.91,1515.349776,232.230168
7,5009.29,753.53,1526.831592,229.675944
7.05,5044.04,694.82,1537.423392,211.781136
7.1,5079.23,703.86,1548.149304,214.536528
7.15,5113.98,695.09,1558.741104,211.863432
7.2,5150.39,728.07,1569.838872,221.915736
7.25,5184.11,674.45,1580.116728,205.57236
7.3,5219.09,699.56,1590.778632,213.225888
7.35,5257.27,763.65,1602.415896,232.76052
7.4,5290.82,670.92,1612.641936,204.496416
7.45,5327.25,728.74,1623.7458,222.119952
7.5,5361.4,682.99,1634.15472,208.175352
7.55,5398.72,746.4,1645.529856,227.50272
7.6,5433.58,697.11,1656.155184,212.479128
7.65,5468.86,705.69,1666.908528,215.094312
7.7,5501.09,644.55,1676.732232,196.45884
7.75,5538.87,755.64,1688.247576,230.319072
7.8,5571.5,652.51,1698.1932,198.885048
7.85,5605.6,682.01,1708.58688,207.876648
7.9,5638.48,657.61,1718.608704,200.439528
7.95,5671.58,662.09,1728.697584,201.805032
8,5704.27,653.67,1738.661496,199.238616
8.05,5736.61,646.93,1748.518728,197.184264
8.1,5770.89,685.55,1758.967272,208.95564
8.15,5802.31,628.44,1768.544088,191.548512
