deployment_level, mach, cd
0, 0.1, 0.7692
0.1, 0.1, 0.7663
0.2, 0.1, 0.7762
0.3, 0.1, 0.7847
0.4, 0.1, 0.7999
0.5, 0.1, 0.8246
0.6, 0.1, 0.8310
0.7, 0.1, 0.8499
0.8, 0.1, 0.8738
0.9, 0.1, 0.8945
1.0, 0.1, 1.1018
0, 0.2, 0.7508
0.1, 0.2, 0.7513
0.2, 0.2, 0.7670
0.3, 0.2, 0.7782
0.4, 0.2, 0.7943
0.5, 0.2, 0.8063
0.6, 0.2, 0.8243
0.7, 0.2, 0.8493
0.8, 0.2, 0.8781
0.9, 0.2, 0.8925
1.0, 0.2, 0.9851
0, 0.3, 0.7445
0.1, 0.3, 0.7571
0.2, 0.3, 0.7699
0.3, 0.3, 0.7828
0.4, 0.3, 0.7985
0.5, 0.3, 0.8114
0.6, 0.3, 0.8379
0.7, 0.3, 0.8634
0.8, 0.3, 0.8834
0.9, 0.3, 0.8947
1.0, 0.3, 0.9782
0, 0.4, 0.7492
0.1, 0.4, 0.7566
0.2, 0.4, 0.7698
0.3, 0.4, 0.7840
0.4, 0.4, 0.7994
0.5, 0.4, 0.8136
0.6, 0.4, 0.8399
0.7, 0.4, 0.8665
0.8, 0.4, 0.8834
0.9, 0.4, 0.8969
1.0, 0.4, 0.9659
0, 0.5, 0.7454
0.1, 0.5, 0.7537
0.2, 0.5, 0.7651
0.3, 0.5, 0.7811
0.4, 0.5, 0.7987
0.5, 0.5, 0.8163
0.6, 0.5, 0.8404
0.7, 0.5, 0.8631
0.8, 0.5, 0.8788
0.9, 0.5, 0.8951
1.0, 0.5, 0.9416
0, 0.6, 0.7036
0.1, 0.6, 0.7237
0.2, 0.6, 0.7359
0.3, 0.6, 0.7496
0.4, 0.6, 0.7684
0.5, 0.6, 0.7899
0.6, 0.6, 0.8153
0.7, 0.6, 0.8406
0.8, 0.6, 0.8539
0.9, 0.6, 0.8712
1.0, 0.6, 0.9286
0, 0.7, 0.6810
0.1, 0.7, 0.6948
0.2, 0.7, 0.7076
0.3, 0.7, 0.7233
0.4, 0.7, 0.7427
0.5, 0.7, 0.7629
0.6, 0.7, 0.7876
0.7, 0.7, 0.8073
0.8, 0.7, 0.8272
0.9, 0.7, 0.8453
1.0, 0.7, 0.8960
0, 0.8, 0.6578
0.1, 0.8, 0.6739
0.2, 0.8, 0.6870
0.3, 0.8, 0.7036
0.4, 0.8, 0.7240
0.5, 0.8, 0.7457
0.6, 0.8, 0.7676
0.7, 0.8, 0.7880
0.8, 0.8, 0.8098
0.9, 0.8, 0.8278
1.0, 0.8, 0.8799
0, 0.9, 0.6574
0.1, 0.9, 0.6634
0.2, 0.9, 0.6794
0.3, 0.9, 0.6958
0.4, 0.9, 0.7201
0.5, 0.9, 0.7395
0.6, 0.9, 0.7618
0.7, 0.9, 0.7844
0.8, 0.9, 0.8057
0.9, 0.9, 0.8278
1.0, 0.9, 0.8628
0, 1.0, 0.8350
0.1, 1.0, 0.8241
0.2, 1.0, 0.8403
0.3, 1.0, 0.8593
0.4, 1.0, 0.8832
0.5, 1.0, 0.9070
0.6, 1.0, 0.9358
0.7, 1.0, 0.9639
0.8, 1.0, 0.9881
0.9, 1.0, 1.0093
1.0, 1.0, 1.0347
0, 1.1, 0.8610
0.1, 1.1, 0.8447
0.2, 1.1, 0.8617
0.3, 1.1, 0.8800
0.4, 1.1, 0.9027
0.5, 1.1, 0.9244
0.6, 1.1, 0.9515
0.7, 1.1, 0.9810
0.8, 1.1, 1.0069
0.9, 1.1, 1.0253
1.0, 1.1, 1.0560
