ts,latitude,longitude,satellites
-0.63,39.3900032043457,-8.289538383483887,12
-0.43,39.3900032043457,-8.289538383483887,12
-0.23,39.3900032043457,-8.289538383483887,12
0.17,39.3900032043457,-8.289538383483887,12
0.37,39.38999938964844,-8.289535522460938,12
0.57,39.38999557495117,-8.289525985717773,12
0.77,39.389984130859375,-8.289506912231445,12
1.17,39.38994216918945,-8.289453506469727,12
1.37,39.3899040222168,-8.289403915405273,12
1.87,39.3899040222168,-8.289403915405273,12
2.37,39.38972854614258,-8.289196968078613,0
2.57,39.38968276977539,-8.289156913757324,12
2.77,39.3896369934082,-8.289105415344238,12
3.17,39.38954544067383,-8.28898811340332,12
3.37,39.38947677612305,-8.288928985595703,10
3.57,39.38941955566406,-8.288878440856934,9
3.77,39.38936233520508,-8.288819313049316,9
3.87,39.38936233520508,-8.288819313049316,9
3.97,39.38936233520508,-8.288819313049316,7
4.17,39.38927459716797,-8.288702011108398,7
4.37,39.389183044433594,-8.288668632507324,4
4.57,39.389068603515625,-8.288651466369629,6
4.77,39.388946533203125,-8.288650512695312,5
4.97,39.388946533203125,-8.288650512695312,3
5.37,39.38871383666992,-8.288551330566406,0
5.87,39.38871383666992,-8.288551330566406,4
6.17,39.388370513916016,-8.288515090942383,4
6.37,39.3882942199707,-8.288496971130371,3
6.97,39.3882942199707,-8.288496971130371,3
7.37,39.3882942199707,-8.288496971130371,4
8.57,39.3882942199707,-8.288496971130371,7
8.97,39.3882942199707,-8.288496971130371,5
9.57,39.3882942199707,-8.288496971130371,7
9.77,39.3882942199707,-8.288496971130371,4
9.87,39.3882942199707,-8.288496971130371,6
10.57,39.3882942199707,-8.288496971130371,7
10.77,39.3868293762207,-8.288166999816895,7
11.17,39.3868293762207,-8.288166999816895,7
11.77,39.3868293762207,-8.288166999816895,5
11.97,39.3868293762207,-8.288166999816895,7
12.97,39.3868293762207,-8.288166999816895,5
13.17,39.3868293762207,-8.288166999816895,7
13.97,39.3868293762207,-8.288166999816895,4
14.37,39.38584518432617,-8.287749290466309,4
14.97,39.38584518432617,-8.287749290466309,6
15.17,39.38584518432617,-8.287749290466309,7
15.77,39.38584518432617,-8.287749290466309,6
15.97,39.38584518432617,-8.287749290466309,5
17.57,39.38508224487305,-8.287322044372559,7
17.77,39.38502883911133,-8.287298202514648,7
17.97,39.38502883911133,-8.287298202514648,7
18.97,39.38502883911133,-8.287298202514648,4
19.17,39.38502883911133,-8.287298202514648,5
19.77,39.38502883911133,-8.287298202514648,4
19.97,39.38502883911133,-8.287298202514648,5
21.37,39.38502883911133,-8.287298202514648,7
21.77,39.38502883911133,-8.287298202514648,9
22.57,39.38502883911133,-8.287298202514648,9
22.97,39.38502883911133,-8.287298202514648,7
23.17,39.38502883911133,-8.287298202514648,11
23.77,39.38502883911133,-8.287298202514648,6
23.97,39.38502883911133,-8.287298202514648,8
24.97,39.38502883911133,-8.287298202514648,6
25.17,39.38502883911133,-8.287298202514648,8
25.97,39.38502883911133,-8.287298202514648,6
26.97,39.38502883911133,-8.287298202514648,5
27.17,39.38502883911133,-8.287298202514648,6
27.57,39.38284683227539,-8.285869598388672,7
27.77,39.38284683227539,-8.285869598388672,8
28.57,39.38284683227539,-8.285869598388672,9
28.77,39.38284683227539,-8.285869598388672,6
28.97,39.38284683227539,-8.285869598388672,8
29.57,39.38262939453125,-8.285618782043457,4
29.77,39.38262939453125,-8.285618782043457,4
30.37,39.38259506225586,-8.285573959350586,4
30.77,39.38252258300781,-8.285490036010742,8
30.97,39.38252258300781,-8.285490036010742,8
31.77,39.38252258300781,-8.285490036010742,6
32.97,39.38252258300781,-8.285490036010742,7
33.57,39.38252258300781,-8.285490036010742,10
33.77,39.38252258300781,-8.285490036010742,7
33.97,39.38252258300781,-8.285490036010742,9
34.37,39.38238525390625,-8.285161972045898,6
34.57,39.38237762451172,-8.285146713256836,8
34.77,39.38237380981445,-8.285133361816406,8
35.57,39.38236999511719,-8.285118103027344,8
35.77,39.38236999511719,-8.285118103027344,7
36.97,39.38236999511719,-8.285118103027344,10
37.17,39.38236999511719,-8.285118103027344,5
37.57,39.38233184814453,-8.284902572631836,8
37.77,39.382328033447266,-8.28488540649414,8
38.57,39.38232421875,-8.284866333007812,8
38.77,39.38232421875,-8.284866333007812,6
38.97,39.38232421875,-8.284866333007812,7
39.17,39.382301330566406,-8.284760475158691,8
39.37,39.382293701171875,-8.284736633300781,8
39.57,39.38228988647461,-8.28471565246582,8
39.77,39.382286071777344,-8.284697532653809,8
40.37,39.38227081298828,-8.28464412689209,6
40.97,39.38227081298828,-8.28464412689209,7
41.17,39.38227081298828,-8.28464412689209,6
41.37,39.38224792480469,-8.28455924987793,9
41.57,39.382240295410156,-8.284541130065918,9
41.77,39.38223648071289,-8.284523963928223,9
42.97,39.382225036621094,-8.284509658813477,9
43.77,39.382225036621094,-8.284509658813477,6
44.37,39.38218307495117,-8.28430461883545,6
44.77,39.38218307495117,-8.28430461883545,6
44.97,39.38218307495117,-8.28430461883545,7
45.17,39.38215637207031,-8.28425121307373,8
45.77,39.38215637207031,-8.28425121307373,8
46.37,39.381893157958984,-8.283141136169434,8
46.57,39.38188552856445,-8.283130645751953,11
46.77,39.38187789916992,-8.283127784729004,12
47.27,39.38187026977539,-8.283112525939941,12
47.37,39.381866455078125,-8.283102989196777,12
47.57,39.381858825683594,-8.283092498779297,12
47.77,39.38185119628906,-8.28308391571045,12
48.27,39.3818359375,-8.28306770324707,12
48.57,39.38182830810547,-8.283050537109375,0
49.07,39.38182830810547,-8.283050537109375,12
49.47,39.38180160522461,-8.2830171585083,12
49.67,39.381778717041016,-8.282997131347656,12
49.87,39.38175582885742,-8.282974243164062,12
50.17,39.38175582885742,-8.282974243164062,12
50.37,39.381717681884766,-8.282922744750977,0
50.57,39.38169479370117,-8.282903671264648,12
50.77,39.38169479370117,-8.282903671264648,12
50.87,39.381675720214844,-8.282881736755371,12
51.17,39.381656646728516,-8.28286361694336,12
51.27,39.38163757324219,-8.282846450805664,12
52.07,39.381591796875,-8.282787322998047,12
52.67,39.381534576416016,-8.282712936401367,0
53.07,39.381534576416016,-8.282712936401367,12
53.27,39.381492614746094,-8.2826509475708,12
53.37,39.38147735595703,-8.282636642456055,12
53.57,39.3814582824707,-8.282614707946777,12
53.87,39.3814582824707,-8.282614707946777,12
54.17,39.38162612915039,-8.282710075378418,12
54.37,39.381629943847656,-8.282706260681152,12
54.57,39.381629943847656,-8.282699584960938,12
54.77,39.381622314453125,-8.282689094543457,12
54.97,39.381622314453125,-8.282689094543457,12
55.17,39.38161087036133,-8.282668113708496,12
55.37,39.38160705566406,-8.2826566696167,12
55.57,39.3816032409668,-8.282641410827637,12
55.77,39.38159942626953,-8.282629013061523,12
56.17,39.381587982177734,-8.282608985900879,12
56.37,39.38158416748047,-8.282596588134766,12
56.57,39.3815803527832,-8.282584190368652,12
56.77,39.38157272338867,-8.282573699951172,12
57.17,39.38156509399414,-8.282548904418945,12
57.37,39.38155746459961,-8.282538414001465,12
57.57,39.381553649902344,-8.282527923583984,12
57.77,39.38154983520508,-8.28251838684082,12
58.17,39.38153839111328,-8.282498359680176,12
58.37,39.38153076171875,-8.282486915588379,12
58.57,39.381526947021484,-8.282474517822266,12
58.77,39.38151931762695,-8.282463073730469,12
59.17,39.381507873535156,-8.282444953918457,12
59.37,39.38150405883789,-8.28243350982666,12
59.57,39.38149642944336,-8.282422065734863,12
59.77,39.381492614746094,-8.282411575317383,12
60.17,39.38148498535156,-8.282390594482422,12
60.37,39.38147735595703,-8.282380104064941,12
60.57,39.381473541259766,-8.282370567321777,12
60.77,39.381465911865234,-8.28236198425293,12
61.17,39.3814582824707,-8.282341957092285,12
61.37,39.38145446777344,-8.282334327697754,12
61.57,39.38145065307617,-8.28232479095459,12
61.77,39.381446838378906,-8.28231430053711,12
62.17,39.381439208984375,-8.28229808807373,12
62.37,39.38143539428711,-8.282289505004883,12
62.57,39.381431579589844,-8.282279968261719,12
62.77,39.38142776489258,-8.282271385192871,12
63.17,39.38142013549805,-8.282255172729492,12
63.37,39.38141632080078,-8.282245635986328,12
63.57,39.381412506103516,-8.282236099243164,12
63.77,39.38140869140625,-8.28222942352295,12
64.17,39.38140106201172,-8.282215118408203,12
64.37,39.38139724731445,-8.282205581665039,12
64.57,39.38138961791992,-8.282198905944824,12
64.77,39.381385803222656,-8.282194137573242,12
65.17,39.38138198852539,-8.282179832458496,12
65.37,39.381378173828125,-8.282171249389648,12
65.57,39.381370544433594,-8.282166481018066,12
65.77,39.38136672973633,-8.2821626663208,12
66.17,39.3813591003418,-8.282149314880371,12
66.37,39.381351470947266,-8.282145500183105,12
66.57,39.381351470947266,-8.28214168548584,12
66.77,39.38134765625,-8.282135963439941,12
67.17,39.38134002685547,-8.282122611999512,12
67.37,39.38133239746094,-8.282118797302246,12
67.57,39.38133239746094,-8.28211498260498,12
67.77,39.38132858276367,-8.282108306884766,12
68.17,39.38132095336914,-8.282097816467285,12
68.37,39.381317138671875,-8.282093048095703,12
68.57,39.381317138671875,-8.282086372375488,12
68.77,39.381309509277344,-8.28208065032959,12
69.17,39.381309509277344,-8.282073974609375,12
69.37,39.381309509277344,-8.282065391540527,12
69.57,39.38130569458008,-8.282057762145996,12
69.77,39.38130187988281,-8.282052993774414,12
70.17,39.38130187988281,-8.282039642333984,12
70.37,39.38130187988281,-8.28203296661377,12
70.57,39.38129806518555,-8.28203010559082,12
70.77,39.38130187988281,-8.282024383544922,12
71.17,39.38130187988281,-8.28200912475586,12
71.37,39.38130187988281,-8.282001495361328,12
71.57,39.38130187988281,-8.281993865966797,12
71.77,39.38130187988281,-8.281987190246582,12
72.17,39.38130187988281,-8.281976699829102,12
72.37,39.38130187988281,-8.28196907043457,12
72.57,39.38130187988281,-8.281962394714355,12
72.77,39.38130187988281,-8.281954765319824,12
73.17,39.38130569458008,-8.281938552856445,12
73.37,39.38130569458008,-8.281929969787598,12
73.57,39.38130569458008,-8.281923294067383,12
73.77,39.38130569458008,-8.281916618347168,12
74.17,39.381309509277344,-8.281900405883789,12
74.37,39.38131332397461,-8.281892776489258,12
74.57,39.38131332397461,-8.281885147094727,12
74.77,39.381317138671875,-8.281876564025879,12
75.17,39.381317138671875,-8.281862258911133,12
75.37,39.38132095336914,-8.281855583190918,12
75.57,39.38132095336914,-8.28184700012207,12
75.77,39.381324768066406,-8.281840324401855,12
76.17,39.38132858276367,-8.281827926635742,12
76.37,39.38133239746094,-8.281820297241211,12
76.57,39.38133239746094,-8.281813621520996,12
76.77,39.38133239746094,-8.281806945800781,12
77.17,39.38134002685547,-8.281791687011719,12
77.37,39.38134002685547,-8.28178596496582,12
77.57,39.381343841552734,-8.281782150268555,12
77.77,39.38134765625,-8.281776428222656,12
78.17,39.381351470947266,-8.28176212310791,12
78.37,39.381351470947266,-8.281757354736328,12
78.57,39.38135528564453,-8.281753540039062,12
78.77,39.3813591003418,-8.281745910644531,12
