ts,id,T,P
-0.756,BARO0,44.72,99619
-0.746,BARO0,44.71,99610
-0.736,BARO0,44.72,99606
-0.726,BARO0,44.72,99615
-0.716,BARO0,44.72,99600
-0.706,BARO0,44.71,99610
-0.696,BARO0,44.72,99621
-0.686,BARO0,44.72,99644
-0.676,BARO0,44.72,99630
-0.666,BARO0,44.7,99597
-0.656,BARO0,44.72,99588
-0.646,BARO0,44.71,99587
-0.636,BARO0,44.72,99593
-0.626,BARO0,44.73,99618
-0.616,BARO0,44.71,99602
-0.606,BARO0,44.71,99625
-0.596,BARO0,44.71,99613
-0.586,BARO0,44.72,99598
-0.576,BARO0,44.73,99629
-0.566,BARO0,44.72,99618
-0.556,BARO0,44.71,99596
-0.546,BARO0,44.74,99599
-0.536,BARO0,44.71,99595
-0.526,BARO0,44.72,99621
-0.516,BARO0,44.71,99627
-0.506,BARO0,44.72,99600
-0.496,BARO0,44.72,99602
-0.486,BARO0,44.72,99588
-0.476,BARO0,44.72,99621
-0.466,BARO0,44.72,99618
-0.456,BARO0,44.71,99591
-0.446,BARO0,44.72,99597
-0.436,BARO0,44.73,99601
-0.426,BARO0,44.72,99591
-0.416,BARO0,44.71,99580
-0.406,BARO0,44.72,99590
-0.396,BARO0,44.73,99596
-0.386,BARO0,44.71,99576
-0.376,BARO0,44.73,99611
-0.366,BARO0,44.73,99583
-0.356,BARO0,44.72,99597
-0.346,BARO0,44.73,99592
-0.336,BARO0,44.71,99587
-0.326,BARO0,44.72,99610
-0.316,BARO0,44.71,99595
-0.306,BARO0,44.72,99617
-0.296,BARO0,44.72,99612
-0.286,BARO0,44.72,99599
-0.276,BARO0,44.72,99611
-0.266,BARO0,44.71,99608
-0.256,BARO0,44.71,99602
-0.246,BARO0,44.72,99625
-0.236,BARO0,44.72,99644
-0.226,BARO0,44.72,99592
-0.216,BARO0,44.71,99610
-0.206,BARO0,44.72,99627
-0.196,BARO0,44.72,99622
-0.186,BARO0,44.72,99638
-0.176,BARO0,44.73,99602
-0.166,BARO0,44.72,99598
-0.156,BARO0,44.72,99604
-0.146,BARO0,44.72,99622
-0.136,BARO0,44.7,99600
-0.126,BARO0,44.71,99585
-0.116,BARO0,44.72,99581
-0.106,BARO0,44.72,99609
-0.096,BARO0,44.71,99615
-0.086,BARO0,44.72,99564
-0.076,BARO0,44.72,99600
-0.066,BARO0,44.71,99629
-0.056,BARO0,44.7,99598
-0.046,BARO0,44.73,99589
-0.036,BARO0,44.73,99606
