time,ALT,HORZV,VERTV,LAT,LON
0.0,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
-0.7,4583,0,0,32.939377,-106.9119858
-0.599,4583,0,0,32.939377,-106.9119858
-0.5,4583,0,0,32.939377,-106.9119858
-0.4,4583,0,0,32.9393771,-106.9119857
-0.2,4583,0,0,32.9393772,-106.9119857
-0.1,4583,0,0,32.9393772,-106.9119857
0.1,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
-0.7,4583,0,0,32.939377,-106.9119858
-0.599,4583,0,0,32.939377,-106.9119858
-0.5,4583,0,0,32.939377,-106.9119858
-0.3,4583,0,0,32.9393771,-106.9119857
-0.2,4583,0,0,32.9393772,-106.9119857
-0.1,4583,0,0,32.9393772,-106.9119857
0.0,4583,0,0,32.9393772,-106.9119857
0.1,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
-0.7,4583,0,0,32.939377,-106.9119858
-0.599,4583,0,0,32.939377,-106.9119858
-0.5,4583,0,0,32.939377,-106.9119858
-0.3,4583,0,0,32.9393771,-106.9119857
-0.2,4583,0,0,32.9393772,-106.9119857
-0.1,4583,0,0,32.9393772,-106.9119857
0.0,4583,0,0,32.9393772,-106.9119857
0.1,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
-0.7,4583,0,0,32.939377,-106.9119858
-0.599,4583,0,0,32.939377,-106.9119858
-0.5,4583,0,0,32.939377,-106.9119858
-0.4,4583,0,0,32.9393771,-106.9119857
-0.1,4583,0,0,32.9393772,-106.9119857
0.0,4583,0,0,32.9393772,-106.9119857
0.1,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
-0.7,4583,0,0,32.939377,-106.9119858
-0.599,4583,0,0,32.939377,-106.9119858
-0.5,4583,0,0,32.939377,-106.9119858
-0.4,4583,0,0,32.9393771,-106.9119857
-0.3,4583,0,0,32.9393771,-106.9119857
-0.2,4583,0,0,32.9393772,-106.9119857
0.1,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
-0.7,4583,0,0,32.939377,-106.9119858
-0.599,4583,0,0,32.939377,-106.9119858
-0.5,4583,0,0,32.939377,-106.9119858
-0.4,4583,0,0,32.9393771,-106.9119857
-0.3,4583,0,0,32.9393771,-106.9119857
-0.2,4583,0,0,32.9393772,-106.9119857
-0.1,4583,0,0,32.9393772,-106.9119857
0.0,4583,0,0,32.9393772,-106.9119857
0.2,4583,0,0,32.9393772,-106.9119857
0.3,4583,0,0,32.9393772,-106.9119857
0.401,4583,0,0,32.9393772,-106.9119857
0.5,4583,0,0,32.9393772,-106.9119857
0.6,4583,0,0,32.9393771,-106.9119857
0.7,4583,0,0,32.9393771,-106.9119857
0.8,4583,0,0,32.9393771,-106.9119856
0.9,4583,0,0,32.9393772,-106.9119856
1.0,4583,0,0,32.9393772,-106.9119857
1.1,4583,0,0,32.9393772,-106.9119857
1.2,4583,0,0,32.9393773,-106.9119857
1.3,4583,0,0,32.9393774,-106.9119857
1.401,4583,0,0,32.9393775,-106.9119857
1.5,4583,0,0,32.9393775,-106.9119857
1.5,4583,0,0,32.9393775,-106.9119857
1.6,4583,0,0,32.9393775,-106.9119856
1.7,4583,0,3,32.9393776,-106.9119856
1.8,4584,6,21,32.9393769,-106.9119848
1.9,4586,11,39,32.9393759,-106.9119824
2.0,4590,12,41,32.9393746,-106.9119825
2.2,4597,31,45,32.9393705,-106.9119976
2.3,4599,30,52,32.939367,-106.9120046
2.401,4599,31,10,32.939363,-106.9120122
2.5,4593,27,-46,32.9393587,-106.9120181
