ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,8,39.39,-8.2895
0.1,1,17,39.39,-8.2895
0.2,3,25,39.39,-8.2895
0.3,6,34,39.39,-8.2895
0.4,10,43,39.39,-8.2895
0.5,15,53,39.39,-8.2895
0.7,28,70,39.39,-8.2895
0.9,44,88,39.39,-8.2895
1.0,53,97,39.39,-8.2895
1.1,63,106,39.39,-8.2895
1.2,74,116,39.39,-8.2895
1.4,100,134,39.39,-8.2896
1.6,130,153,39.39,-8.2896
2.2,246,206,39.39,-8.2896
2.8,402,254,39.39,-8.2896
2.9,432,261,39.39,-8.2896
3.0,462,268,39.39,-8.2896
3.1,493,275,39.3901,-8.2898
3.2,525,281,39.3901,-8.2898
3.5,625,299,39.3901,-8.2898
4.1,830,314,39.3901,-8.2899
4.6,975,297,39.3901,-8.29
5.5,1189,260,39.3895,-8.2904
5.8,1252,247,39.3894,-8.2904
6.3,1352,228,39.3894,-8.2904
6.5,1389,221,39.3894,-8.2904
6.6,1407,217,39.3894,-8.2904
6.7,1425,213,39.3894,-8.2904
6.8,1442,210,39.3894,-8.2904
6.9,1460,207,39.3894,-8.2904
7.0,1477,203,39.3894,-8.2904
7.3,1527,194,39.3894,-8.2904
7.4,1544,190,39.3894,-8.2904
7.6,1576,184,39.3891,-8.291
7.7,1592,182,39.3887,-8.2904
7.8,1607,179,39.3887,-8.2904
8.2,1668,168,39.3885,-8.2902
8.3,1683,166,39.3885,-8.2902
8.6,1727,158,39.3885,-8.2902
8.7,1742,156,39.3885,-8.2902
8.9,1770,152,39.3881,-8.2903
9.4,1840,142,39.3881,-8.2903
9.5,1853,140,39.3881,-8.2903
9.7,1880,136,39.3881,-8.2903
9.9,1906,133,39.3881,-8.2903
10.2,1945,128,39.3877,-8.2904
10.3,1958,127,39.3877,-8.2905
10.4,1971,125,39.3877,-8.2905
10.5,1983,124,39.3876,-8.2905
10.6,1996,122,39.3876,-8.2905
10.7,2008,121,39.3875,-8.2906
11.0,2045,117,39.3874,-8.2906
11.1,2057,115,39.3873,-8.2907
11.3,2080,113,39.3873,-8.2907
11.4,2092,112,39.3873,-8.2907
11.6,2115,109,39.3872,-8.2907
11.9,2149,106,39.387,-8.2908
12.2,2183,102,39.3869,-8.2909
12.3,2194,101,39.3869,-8.2909
12.4,2204,100,39.3869,-8.2909
12.5,2215,99,39.3868,-8.2909
12.6,2226,98,39.3868,-8.2909
12.7,2236,97,39.3867,-8.2909
13.0,2268,94,39.3867,-8.291
13.1,2278,93,39.3866,-8.291
13.4,2308,90,39.3865,-8.291
13.6,2327,88,39.3864,-8.291
13.7,2337,87,39.3864,-8.291
13.8,2347,87,39.3864,-8.291
14.0,2366,85,39.3863,-8.2911
14.2,2384,83,39.3863,-8.2911
14.3,2393,82,39.3862,-8.2911
14.4,2402,81,39.3862,-8.2911
14.5,2411,80,39.3861,-8.2911
14.7,2428,78,39.3861,-8.2912
14.9,2445,76,39.386,-8.2912
15.0,2453,76,39.386,-8.2912
15.1,2462,75,39.386,-8.2912
15.2,2470,74,39.386,-8.2912
15.4,2485,72,39.3859,-8.2912
15.6,2501,70,39.3859,-8.2912
16.0,2530,66,39.3859,-8.2912
16.1,2537,66,39.3859,-8.2912
16.2,2544,65,39.3859,-8.2912
16.3,2551,64,39.3856,-8.2913
16.4,2558,63,39.3856,-8.2913
16.5,2564,62,39.3855,-8.2913
17.0,2596,57,39.3855,-8.2912
17.1,2602,56,39.3855,-8.2912
17.4,2620,54,39.3855,-8.2912
17.5,2626,53,39.3855,-8.2912
17.6,2631,52,39.3855,-8.2912
17.7,2637,51,39.3855,-8.2912
18.0,2652,48,39.3855,-8.2912
18.1,2657,47,39.3855,-8.2912
18.2,2662,46,39.3855,-8.2912
18.3,2667,45,39.3855,-8.2912
18.5,2676,43,39.3855,-8.2912
18.6,2681,43,39.3855,-8.2912
18.9,2694,40,39.3855,-8.2912
19.0,2698,39,39.3855,-8.2912
19.1,2702,38,39.3855,-8.2912
19.4,2714,35,39.3855,-8.2912
19.5,2717,34,39.3855,-8.2912
19.6,2720,33,39.3855,-8.2912
19.7,2724,32,39.3855,-8.2912
20.0,2733,29,39.3855,-8.2912
20.3,2742,26,39.3855,-8.2912
20.5,2747,24,39.3855,-8.2912
20.6,2750,24,39.3855,-8.2912
20.7,2752,23,39.3855,-8.2912
20.8,2755,22,39.3855,-8.2912
21.2,2764,19,39.3855,-8.2912
21.4,2767,17,39.3855,-8.2912
21.5,2769,16,39.3855,-8.2912
21.6,2771,15,39.3855,-8.2912
21.7,2772,14,39.3855,-8.2912
21.9,2775,12,39.3855,-8.2912
22.1,2778,10,39.3855,-8.2912
22.2,2779,10,39.3855,-8.2912
22.3,2780,9,39.3855,-8.2912
22.4,2781,8,39.3855,-8.2912
22.5,2782,7,39.3855,-8.2912
22.6,2782,6,39.3855,-8.2912
22.9,2784,3,39.3841,-8.2913
23.0,2784,2,39.3841,-8.2913
23.1,2785,1,39.3841,-8.2913
23.2,2785,0,39.3841,-8.2913
23.4,2784,-2,39.3841,-8.2913
23.6,2781,-5,39.3841,-8.2913
23.7,2787,0,39.3841,-8.2913
23.8,2789,2,39.3841,-8.2913
24.0,2785,-2,39.3841,-8.2913
24.2,2781,-5,39.3841,-8.2913
24.3,2779,-6,39.3841,-8.2913
24.4,2778,-6,39.3841,-8.2913
24.7,2777,-6,39.3841,-8.2913
24.8,2776,-6,39.3841,-8.2913
24.9,2776,-6,39.3841,-8.2913
25.0,2775,-6,39.3841,-8.2913
25.1,2774,-6,39.3841,-8.2913
25.6,2763,-12,39.3841,-8.2913
25.7,2761,-14,39.3841,-8.2913
26.2,2748,-19,39.3841,-8.2913
26.3,2745,-19,39.3841,-8.2913
26.4,2742,-20,39.3841,-8.2913
