{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10130018626945175, 'apogeeAltitude': 800.0505732166873, 'apogeeX': 1.012302690751081, 'apogeeY': 1.0094296189053116, 'impactTime': 46.5128232988329, 'impactX': 290.53070902694856, 'impactY': -102.99022537065368, 'impactVelocity': -17.738031891251136, 'initialStaticMargin': 2.9243203789361902, 'outOfRailStaticMargin': 2.9243203789361902, 'finalStaticMargin': 2.924320378943833, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 19.751491449727876, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.4022994993041142, 'drogueInflatedVelocity': 18.17650463545513}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10129255905490112, 'apogeeAltitude': 800.0505737923636, 'apogeeX': 1.0122351198558932, 'apogeeY': 1.009397824910501, 'impactTime': 47.44176109554098, 'impactX': 290.61517433547925, 'impactY': -108.07890358969553, 'impactVelocity': -16.61816095435767, 'initialStaticMargin': 3.1907709178680967, 'outOfRailStaticMargin': 3.1907709178680967, 'finalStaticMargin': 3.1907709178750037, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 27.139683003903702, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.73695925437354, 'drogueInflatedVelocity': 27.139683003903702}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10124864493545285, 'apogeeAltitude': 800.0505415088819, 'apogeeX': 1.0117859727800402, 'apogeeY': 1.0089075167587525, 'impactTime': 48.37876539075262, 'impactX': 301.43885936636497, 'impactY': -111.68627170337662, 'impactVelocity': -17.30785855199397, 'initialStaticMargin': 2.6678351444834267, 'outOfRailStaticMargin': 2.6678351444834267, 'finalStaticMargin': 2.66783514449013, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 19.383239911030024, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 0.8199263996411787, 'drogueInflatedVelocity': 15.315285457875722}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10132213174663218, 'apogeeAltitude': 800.0505843719479, 'apogeeX': 1.0125429301777542, 'apogeeY': 1.0097552717846159, 'impactTime': 42.41345549400001, 'impactX': 268.5167510144255, 'impactY': -80.98444038867797, 'impactVelocity': -19.04422452725633, 'initialStaticMargin': 3.0215160840226836, 'outOfRailStaticMargin': 3.0215160840226836, 'finalStaticMargin': 3.021516084029232, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 24.55692695198939, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.381585305241344, 'drogueInflatedVelocity': 24.55692695198939}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10116924494963399, 'apogeeAltitude': 800.0504972600484, 'apogeeX': 1.0109611946748547, 'apogeeY': 1.007956231666032, 'impactTime': 48.72919212819774, 'impactX': 302.2081056223983, 'impactY': -114.80767334241584, 'impactVelocity': -17.055429980225224, 'initialStaticMargin': 2.3030004452000887, 'outOfRailStaticMargin': 2.3030004452000887, 'finalStaticMargin': 2.3030004452065445, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 19.161283492463788, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.0026827119686033, 'drogueInflatedVelocity': 16.059599717252013}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10126719231120586, 'apogeeAltitude': 800.050555260731, 'apogeeX': 1.0119694278333353, 'apogeeY': 1.0090826877663204, 'impactTime': 47.56066471081438, 'impactX': 294.2624867336257, 'impactY': -110.259013549797, 'impactVelocity': -17.15188968358564, 'initialStaticMargin': 2.7906631190949085, 'outOfRailStaticMargin': 2.7906631190949085, 'finalStaticMargin': 2.7906631191022613, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 19.70219716920199, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.6554103299341827, 'drogueInflatedVelocity': 19.70219716920199}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10129794253298376, 'apogeeAltitude': 800.05057648919, 'apogeeX': 1.012265555036317, 'apogeeY': 1.0093320853818448, 'impactTime': 46.22699826538492, 'impactX': 289.66064532054435, 'impactY': -100.8350692286417, 'impactVelocity': -17.927326545476827, 'initialStaticMargin': 2.911257682868704, 'outOfRailStaticMargin': 2.911257682868704, 'finalStaticMargin': 2.911257682875624, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 19.918239860744542, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.2994934379286887, 'drogueInflatedVelocity': 17.575819281735914}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10127312773718328, 'apogeeAltitude': 800.0505574986717, 'apogeeX': 1.0120354862717147, 'apogeeY': 1.0091762995788012, 'impactTime': 50.459852645351354, 'impactX': 304.6056544909536, 'impactY': -124.80909423758658, 'impactVelocity': -15.544863707786272, 'initialStaticMargin': 2.8494540973977696, 'outOfRailStaticMargin': 2.8494540973977696, 'finalStaticMargin': 2.849454097404944, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 26.9956046834812, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.730036526539083, 'drogueInflatedVelocity': 26.9956046834812}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10130667342197332, 'apogeeAltitude': 800.0505818468146, 'apogeeX': 1.012392379541083, 'apogeeY': 1.0096213181194837, 'impactTime': 46.82005008633162, 'impactX': 294.325577536846, 'impactY': -101.98210045365292, 'impactVelocity': -17.950215632535887, 'initialStaticMargin': 3.3422649462980196, 'outOfRailStaticMargin': 3.3422649462980196, 'finalStaticMargin': 3.3422649463051233, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 19.942413012661223, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 0.8575051233753062, 'drogueInflatedVelocity': 15.478592118674886}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10125596815186594, 'apogeeAltitude': 800.0505509462585, 'apogeeX': 1.0118701841991993, 'apogeeY': 1.0090368654889117, 'impactTime': 42.825056374180505, 'impactX': 275.1666542770759, 'impactY': -78.16596464135635, 'impactVelocity': -19.667216908368506, 'initialStaticMargin': 2.9208187257140827, 'outOfRailStaticMargin': 2.9208187257140827, 'finalStaticMargin': 2.92081872572179, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 21.450859662919772, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.1905328165080729, 'drogueInflatedVelocity': 17.01796505240409}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10123886937574883, 'apogeeAltitude': 800.0505388123579, 'apogeeX': 1.0116883192286448, 'apogeeY': 1.0088102924240425, 'impactTime': 45.65240040065899, 'impactX': 280.7396114519202, 'impactY': -96.27868975797276, 'impactVelocity': -16.973407309123044, 'initialStaticMargin': 2.772099335123255, 'outOfRailStaticMargin': 2.772099335123255, 'finalStaticMargin': 2.77209933513033, 'numberOfEvents': 1, 'executionTime': 0.1875, 'maxVelocity': 31.523434304600777, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.3054348608025346, 'drogueInflatedVelocity': 31.523434304600777}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.1013498854240173, 'apogeeAltitude': 800.0506069927419, 'apogeeX': 1.0128151180025555, 'apogeeY': 1.0100055269576895, 'impactTime': 42.759099091830905, 'impactX': 272.32474814790976, 'impactY': -81.1406955300751, 'impactVelocity': -19.27971897067385, 'initialStaticMargin': 3.572935639064886, 'outOfRailStaticMargin': 3.572935639064886, 'finalStaticMargin': 3.572935639071452, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 21.114185819266464, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.7749203046321715, 'drogueInflatedVelocity': 20.475361555812913}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10135607582738589, 'apogeeAltitude': 800.050612886708, 'apogeeX': 1.0128884455065332, 'apogeeY': 1.0101258110339404, 'impactTime': 42.407337366096655, 'impactX': 266.417321312732, 'impactY': -75.85002432837236, 'impactVelocity': -18.400320580813894, 'initialStaticMargin': 3.810880464306185, 'outOfRailStaticMargin': 3.810880464306185, 'finalStaticMargin': 3.810880464314097, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 31.949467605898732, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.2862178469827734, 'drogueInflatedVelocity': 31.949467605898732}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10124934969067612, 'apogeeAltitude': 800.0505479218207, 'apogeeX': 1.011786379653443, 'apogeeY': 1.0088806491736906, 'impactTime': 38.99700219530586, 'impactX': 252.34719977981516, 'impactY': -60.13401240931895, 'impactVelocity': -20.70528001867535, 'initialStaticMargin': 2.8061309809419095, 'outOfRailStaticMargin': 2.8061309809419095, 'finalStaticMargin': 2.806130980948933, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 26.981916124188327, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.730611086093574, 'drogueInflatedVelocity': 26.981916124188327}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.1012846201727494, 'apogeeAltitude': 800.0505646126451, 'apogeeX': 1.01214555014669, 'apogeeY': 1.0092663980849361, 'impactTime': 43.4796474535933, 'impactX': 273.6586142734366, 'impactY': -87.80274942407254, 'impactVelocity': -18.612739063165638, 'initialStaticMargin': 2.9213206728699137, 'outOfRailStaticMargin': 2.9213206728699137, 'finalStaticMargin': 2.9213206728771555, 'numberOfEvents': 1, 'executionTime': 0.1875, 'maxVelocity': 23.459249600850697, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.22979105489944, 'drogueInflatedVelocity': 23.459249600850697}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10126722486097539, 'apogeeAltitude': 800.0505459507274, 'apogeeX': 1.0119358451969866, 'apogeeY': 1.0089097262207853, 'impactTime': 46.715376709111666, 'impactX': 292.4833217455845, 'impactY': -103.27510123709995, 'impactVelocity': -17.810136134651952, 'initialStaticMargin': 2.310516507697342, 'outOfRailStaticMargin': 2.310516507697342, 'finalStaticMargin': 2.3105165077045564, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 19.816981085284116, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.14081376128577, 'drogueInflatedVelocity': 16.716355213489607}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10124960972486866, 'apogeeAltitude': 800.0505540618069, 'apogeeX': 1.0118040516704572, 'apogeeY': 1.0089602907884028, 'impactTime': 42.34117387721224, 'impactX': 264.16711372734176, 'impactY': -75.47803143494484, 'impactVelocity': -18.033459222044634, 'initialStaticMargin': 3.250816721695339, 'outOfRailStaticMargin': 3.250816721695339, 'finalStaticMargin': 3.2508167217023516, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 35.958961810852905, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.7806145572783767, 'drogueInflatedVelocity': 35.958961810852905}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10133853739131835, 'apogeeAltitude': 800.0506005619332, 'apogeeX': 1.0127161425054345, 'apogeeY': 1.0099661489912763, 'impactTime': 44.540709765746335, 'impactX': 274.0452883026205, 'impactY': -86.71851207802773, 'impactVelocity': -17.018934847249106, 'initialStaticMargin': 3.5424888909057337, 'outOfRailStaticMargin': 3.5424888909057337, 'finalStaticMargin': 3.5424888909134227, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 36.51617984681783, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.830733893780201, 'drogueInflatedVelocity': 36.51617984681783}
